景点名称,城市,评分,评论数,门票价格,景区类型
程阳八寨,柳州,4.4,1423,90,古镇街区
鹿寨香桥岩溶国家地质公园,柳州,4.4,545,48,自然风光
窑埠古镇,柳州,4.1,64,0,古镇街区
百里柳江旅游景区,柳州,4.5,881,0,城市地标
龙潭公园,柳州,4.7,1043,0,自然风光
柳州云顶观光,柳州,4.5,405,42,城市地标
马鞍山公园,柳州,4.7,27,0,自然风光
柳州工业博物馆,柳州,4.7,141,0,历史遗迹
水之星游船(东堤码头),柳州,4.3,361,100,城市地标
柳州博物馆,柳州,4.5,260,0,历史遗迹
双龙沟,柳州,3.9,194,80,自然风光
仙人山景区,柳州,4.3,88,54,自然风光
五星步行商业街,柳州,4.5,21,0,城市地标
《坐妹》实景演出,柳州,4.4,426,148,主题乐园
柳侯公园,柳州,4.6,497,0,历史遗迹
月也侗寨,柳州,5,7,0,古镇街区
步步高豪华游轮,柳州,4.6,134,100,城市地标
柳州动物园,柳州,4.4,136,12,主题乐园
丹洲景区,柳州,4,185,68,古镇街区
程阳风雨桥,柳州,4.5,253,0,历史遗迹
